Date,VOO US EQUITY,VOOG US EQUITY,VOOV US EQUITY,VO US EQUITY,VOT US EQUITY,VOE US EQUITY,VTWO US EQUITY,VTWG US EQUITY,VTWV US EQUITY,GLD US EQUITY,SLV US EQUITY,CPER US EQUITY,DBO US EQUITY,UNG US EQUITY,VNQ US EQUITY,SHYG US EQUITY,SPSB US EQUITY,SHY US EQUITY,JNK US EQUITY,SPIB US EQUITY,IEI US EQUITY,ANGL US EQUITY,SPIB US EQUITY,TLH US EQUITY,TLT US EQUITY,VGK US EQUITY,VWO US EQUITY,MCHI US EQUITY,EWY US EQUITY,EWJ US EQUITY,SH US EQUITY,PSQ US EQUITY,BSV US EQUITY,RWM US EQUITY,DOG US EQUITY,EUM US EQUITY,VOX US EQUITY,VCR US EQUITY,VDC US EQUITY,VDE US EQUITY,VFH US EQUITY,VHT US EQUITY,VIS US EQUITY,VGT US EQUITY,VAW US EQUITY,VNQ US EQUITY,VPU US EQUITY
2013-08-13,131.7408,71.4513,62.8409,88.8936,78.3312,60.5498,37.4468,83.1216,67.3682,127.74,20.71,22.52,26.704,70.08,47.6146,,26.2315,77.8802,73.2917,26.7009,106.8524,16.3794,26.7009,102.7996,85.5013,40.4696,31.7991,39.0296,48.2134,40.0977,54.2782,82.2325,69.2741,74.1326,111.01,27.7537,65.1945,86.1096,85.4363,88.3557,34.851,81.843,75.2453,72.1026,78.6056,47.6146,63.7831
2013-08-14,130.9952,71.1235,62.6147,88.2332,77.6479,60.2852,37.3305,82.784,67.1891,129.0,21.09,,26.8105,70.76,47.4311,,26.2144,77.8802,73.2364,26.669,106.8701,16.4291,26.669,102.8329,85.6316,40.5229,31.8936,39.1249,48.4275,39.8898,54.5698,82.5439,69.3001,74.4444,111.8304,27.6656,65.0903,85.267,84.8927,88.0332,34.7508,81.2957,74.6771,71.9314,78.5636,47.4311,63.3687
2013-08-15,129.0805,70.0394,61.6365,86.9118,76.2718,59.4253,36.6277,81.1101,66.0377,131.69,22.15,22.6099,26.917,72.24,46.5629,,26.196,77.8525,72.9046,26.6531,106.6485,16.3669,26.6531,102.1838,84.4752,40.3173,31.5213,38.7697,48.0593,39.3353,55.3668,83.8671,69.1963,75.7307,113.3917,27.9786,64.3932,83.7413,83.4139,87.5531,34.2334,79.9099,73.8334,70.6793,77.7481,46.5629,62.4571
2013-08-16,128.7078,69.8872,61.4317,86.6056,76.0472,59.2351,36.501,80.964,65.6795,132.58,22.34,22.89,27.1009,71.44,45.4195,,26.1717,77.8617,72.665,26.5815,106.4534,16.3856,26.5815,101.8094,84.182,40.4239,31.18,38.6831,48.3847,39.318,55.5224,83.9838,69.1704,76.0425,113.6259,28.2035,63.9124,83.422,82.9343,87.253,34.0999,79.5127,73.9109,70.7333,77.2941,45.4195,61.7941
2013-08-19,127.8944,69.6409,60.9635,85.958,75.523,58.7638,36.0995,80.2361,64.9461,132.01,22.3416,22.58,26.9363,72.92,44.8195,,26.1888,77.8432,72.1673,26.4788,106.2938,16.2924,26.4788,101.2768,83.4491,40.066,30.5688,38.5012,48.0679,39.2313,55.8723,84.1006,69.1185,76.861,114.1724,28.7316,63.1351,83.1115,82.6465,85.7976,33.6325,79.601,73.5148,70.5171,76.5627,44.8195,61.3044
2013-08-20,128.4028,69.8872,61.3008,86.9371,76.4778,59.3674,36.6098,81.2605,65.9183,132.45,22.19,22.7199,26.8395,72.92,45.8359,,26.1888,77.8617,72.7571,26.5178,106.5509,16.3716,26.5178,101.8926,84.0924,40.1879,30.5291,38.0681,47.8024,38.8847,55.6196,83.7114,69.1963,75.6917,114.0943,28.7903,63.7281,83.9631,82.7584,86.3228,34.0248,79.9982,73.7473,70.7153,77.1932,45.8359,61.8242
2013-08-21,127.7419,69.9589,61.0555,86.3518,76.0284,58.8879,36.3815,80.894,65.9439,132.07,22.14,22.65,26.704,73.4,45.73,,26.1375,77.8155,72.4806,26.4461,106.1696,16.3784,26.4461,101.2602,83.1722,39.7767,29.8544,37.3839,46.5952,38.3302,55.9695,84.0227,69.0407,76.1984,114.914,29.4748,62.983,83.2446,82.1029,85.8202,33.8161,79.6539,73.3254,70.5712,76.6468,45.73,61.1763
2013-08-22,128.8603,70.0707,61.2435,87.3363,76.9552,59.4915,36.9455,81.961,66.1657,132.81,22.27,22.7,26.733,74.8,46.0053,,26.1461,77.7878,72.8862,26.4262,105.9834,16.3239,26.4262,101.4266,84.0191,40.2792,30.3386,38.302,46.9462,38.5728,55.464,83.2444,69.0235,75.0681,114.4456,28.9956,63.3595,84.105,82.4946,87.0579,34.1917,80.1924,74.3413,71.0036,77.5547,46.0053,61.5048
2013-08-23,129.2839,70.3527,61.5956,87.4981,77.2079,59.6072,36.9769,82.292,66.3703,134.9,23.15,,26.917,74.0,46.4853,,26.1232,77.7878,73.0889,26.462,106.2051,16.3607,26.462,102.1755,84.9312,40.4848,30.6958,38.2674,47.6226,39.2313,55.2696,82.6217,69.0926,74.9122,114.0943,28.6338,64.0643,84.1582,82.9902,87.6731,34.2418,80.3689,74.3758,71.454,78.0507,46.4853,61.9749
2013-08-26,128.8772,70.2687,61.2517,87.3494,77.1798,59.508,36.9679,82.5293,66.2254,135.45,23.46,22.618,26.9267,74.32,46.3511,,26.1034,77.8155,73.0336,26.5496,106.3913,16.4036,26.5496,102.4501,85.3547,40.2868,30.3306,38.1721,47.7425,38.7808,55.4446,82.6606,69.1358,74.9511,114.4847,28.9457,63.527,84.0341,82.1349,87.5756,34.0749,80.5278,74.2638,71.3008,78.2105,46.3511,61.5002
2013-08-27,126.7592,69.0905,60.2774,85.7305,75.7102,58.2677,36.104,80.2268,64.8949,136.75,23.59,22.65,27.2559,75.04,46.1253,,26.0863,77.8525,72.6834,26.6451,106.6485,16.3483,26.6451,103.1823,86.4297,39.4264,29.5448,37.6091,47.1688,38.3649,56.3389,84.2173,69.1704,76.6271,115.8118,29.6019,62.8707,82.5084,81.5114,86.9979,33.3071,79.1508,72.6367,69.7694,76.6383,46.1253,61.4701
2013-08-28,127.1828,69.3824,60.4739,85.8618,75.8974,58.3421,36.198,80.7267,65.0655,136.71,23.43,22.6,27.2946,75.12,45.843,,26.1119,77.8063,72.9599,26.5894,106.4356,16.414,26.5894,102.6831,85.7293,39.3807,29.521,37.5831,47.8624,38.4689,56.1639,83.9449,69.1618,76.5102,115.4215,29.5628,62.74,82.943,80.9119,88.4458,33.3321,79.4156,72.7056,69.9856,76.4954,45.843,61.6894
2013-08-29,127.3861,69.503,60.5067,86.2993,76.4029,58.5373,36.4834,81.6637,65.2019,135.87,23.0,22.2899,26.9944,75.92,45.9135,,26.1375,77.8248,73.1627,26.6531,106.4888,16.4042,26.6531,103.0242,86.4134,39.2665,29.6956,37.661,48.8556,38.4342,56.0861,83.3611,69.1963,75.6527,115.3044,29.3281,63.4236,83.4921,81.3755,87.5606,33.4406,79.7599,73.0069,70.418,76.7476,45.9135,61.4023
2013-08-30,126.827,69.1711,60.2528,85.7217,75.8132,58.2264,36.0145,80.4052,64.3832,134.62,22.6,22.0699,26.6459,75.8,45.5253,,26.1119,77.834,73.1258,26.6213,106.3736,16.4229,26.6213,102.9077,86.3157,38.863,29.9417,37.8603,49.0011,37.6718,56.2417,83.8281,69.1877,76.822,115.6166,29.0934,62.8627,82.8987,81.5354,87.4255,33.2153,79.3097,72.4473,69.9676,76.5038,45.5253,61.2215
2013-09-03,127.5725,69.5739,60.4984,86.098,76.2437,58.4248,36.2159,80.941,64.6305,136.42,23.39,22.59,27.1784,77.0,45.1301,,26.1372,77.804,72.8948,26.5953,106.1517,16.4305,26.5953,101.9405,85.0983,39.4264,30.1163,38.7438,49.4721,38.6075,56.0084,83.439,69.0629,76.4322,115.3824,28.8978,62.4933,83.4398,81.4155,87.8756,33.3822,79.8393,72.8433,70.2198,76.8283,45.1301,60.5359
2013-09-04,128.64,70.2274,60.9406,86.9381,77.0581,58.9457,36.48,81.8602,65.0568,134.66,22.69,22.08,27.0235,77.2,45.5183,,26.1286,77.7301,73.0245,26.4756,105.8678,16.444,26.4756,101.6903,84.9105,39.6472,30.5846,39.3241,50.6365,39.1967,55.5224,82.466,68.9678,75.7307,114.5237,28.3697,63.0069,84.3045,81.9591,88.4008,33.6743,80.8103,73.6268,70.8324,77.4706,45.5183,60.5585
2013-09-05,128.6061,70.3372,61.1272,87.1919,77.2266,59.1111,36.6232,82.2192,65.2105,132.2,22.38,22.08,27.13,75.12,45.0383,,26.1457,77.6563,72.728,26.3799,105.3975,16.3993,26.3799,100.7898,83.7265,39.6244,30.9974,39.7572,50.8249,39.0927,55.464,82.3882,68.8812,75.5358,114.4847,28.047,62.7346,84.4332,81.8711,88.7083,33.716,81.0221,73.8764,71.0216,77.7228,45.0383,60.3174
2013-09-06,128.8264,70.4279,61.178,87.2444,77.2452,59.1194,36.6993,82.2756,65.4407,134.15,22.97,22.15,27.2655,74.16,45.7371,,26.1115,77.7301,72.9504,26.5315,105.8057,16.4743,26.5315,101.2818,84.143,39.8833,31.4181,39.9391,51.7153,39.2313,55.4252,82.2325,68.9851,75.4188,114.5627,27.6559,62.6704,84.2913,81.9671,88.7984,33.7494,81.0751,73.8678,71.1657,77.6388,45.7371,60.5736
2013-09-09,130.0972,70.9942,61.6775,88.4345,78.2563,59.9793,37.2544,83.5162,66.0889,133.91,22.835,22.29,27.1493,75.8,46.6899,,26.1543,77.7486,73.2098,26.5576,106.0009,16.4305,26.5576,101.4277,84.1838,40.2868,32.3429,40.8486,52.3489,40.2364,54.8614,81.2207,69.0499,74.2885,113.4308,26.8735,63.079,85.1517,82.6145,89.7811,34.15,81.6576,74.8923,72.1296,78.8326,46.6899,60.8674
2013-09-10,131.0799,71.4449,62.1881,89.257,79.0894,60.4671,37.6348,84.3057,66.865,131.74,22.125,22.22,26.8879,75.2,46.6547,,26.1278,77.7209,73.3395,26.4836,105.7524,16.4049,26.4836,100.9149,83.5959,40.7894,32.5929,41.4029,52.7856,40.5483,54.4531,80.8315,68.9591,73.548,112.4159,26.6584,63.7761,86.0298,82.7584,89.8261,34.5172,82.152,76.0804,72.607,79.5968,46.6547,61.3646
2013-09-11,131.4866,71.418,62.4553,89.502,79.3796,60.6077,37.6348,84.2775,66.9503,131.7,22.29,22.21,26.8298,74.8,47.0287,,26.1971,77.7579,73.4692,26.5075,106.0541,16.3996,26.5075,101.4902,84.3389,41.0787,32.6366,41.0131,53.0596,40.271,54.2782,81.0261,69.0197,73.4705,111.4401,26.6388,64.1287,86.5088,83.294,90.4637,34.5589,82.5756,76.3129,72.3908,79.9423,47.0287,60.8222
