Date,KOSPI Index,M1WO Index,M1EF Index,KBPMABIN Index,BTSYTRUH Index,JPEIGLBL Index,LGCPTRUU Index,RUGL Index,BCOMTR Index,BCOMGCTR Index
2011-06-28,2062.91,3204.02,430.9,186.29,485.53,546.95,206.2173,3024.19,316.0235,385.8145
2011-06-29,2094.42,3247.64,435.62,186.14,484.7166,547.97,206.2132,3057.19,319.6691,388.4379
2011-06-30,2100.69,3290.22,440.84,186.17,484.3637,549.35,206.5909,3082.22,317.8776,386.4837
2011-07-01,2125.74,3321.63,444.92,186.07,484.2664,549.77,206.4558,3111.65,315.3281,381.289
2011-07-04,2145.3,3332.52,449.87,186.12,484.1676,,206.6873,3131.8,,
2011-07-05,2161.75,3327.06,448.64,186.32,484.4301,549.74,207.1079,3140.39,320.489,389.0311
2011-07-06,2171.19,3317.76,446.75,186.22,484.4323,550.04,206.7404,3147.2,319.0683,393.2747
2011-07-07,2180.59,3343.61,449.38,186.26,483.7581,550.73,206.629,3164.54,323.8227,393.6351
2011-07-08,2180.35,3320.77,448.05,186.07,485.1763,551.4,207.4986,3165.94,323.2981,396.4643
2011-07-11,2157.16,3250.82,440.03,186.32,485.7479,550.64,206.892,3106.56,321.6306,398.4191
2011-07-12,2109.73,3232.2,431.75,186.88,486.5097,550.04,206.7947,3092.1,325.5896,401.7867
2011-07-13,2129.64,3264.73,438.23,186.93,486.1745,550.74,208.001,3101.69,331.0047,407.7333
2011-07-14,2130.07,3241.23,437.33,186.92,486.0487,550.94,207.6099,3079.61,328.3992,408.6893
2011-07-15,2145.2,3247.01,437.41,187.07,486.1189,550.79,207.6493,3088.31,330.7663,408.8951
2011-07-18,2130.48,3207.18,432.42,187.16,485.7827,550.59,206.9118,3063.19,329.7604,412.081
2011-07-19,2130.21,3255.4,435.06,187.14,486.6393,551.72,208.0245,3095.85,331.7279,411.7473
2011-07-20,2154.95,3274.36,438.16,187.02,486.2609,552.44,207.7011,3121.45,330.7351,410.6945
2011-07-21,2145.04,3322.92,440.77,187.06,485.8693,553.39,208.2088,3143.18,328.7839,408.1519
2011-07-22,2171.23,3335.35,444.63,186.95,486.7531,554.27,209.031,3167.2,332.2402,411.9021
2011-07-25,2150.48,3316.21,442.7,186.88,486.2099,553.43,208.7847,3143.1,330.8704,414.651
2011-07-26,2168.7,3319.83,446.01,186.75,486.6823,554.65,209.9816,3156.93,333.3431,415.9103
2011-07-27,2174.31,3262.26,443.12,186.82,487.16,555.82,209.5928,3110.29,331.7438,415.3973
2011-07-28,2155.85,3246.81,441.78,186.99,487.2756,557.72,209.4379,3104.46,329.7805,415.1154
2011-07-29,2133.21,3230.56,438.89,186.86,488.7302,560.04,211.0469,3104.77,327.2924,418.9688
2011-08-01,2172.31,3208.89,442.73,186.78,489.1561,563.28,210.8806,3089.77,326.6307,416.5309
2011-08-02,2121.27,3140.18,434.8,186.97,490.3008,565.54,211.7468,3026.69,328.5712,422.3883
2011-08-03,2066.26,3124.97,425.5,187.28,490.9721,566.48,212.0963,2986.88,325.2589,427.989
2011-08-04,2018.47,2990.63,414.16,187.52,492.362,564.41,211.9266,2880.1,316.1958,426.1154
2011-08-05,1943.75,2955.31,401.84,188.16,492.3958,561.15,210.7056,2785.68,313.8997,424.2674
2011-08-08,1869.45,2804.19,382.23,188.11,495.675,555.28,211.2058,2612.88,307.691,440.0421
2011-08-09,1801.35,2883.45,373.89,188.13,495.8378,553.27,211.0929,2723.14,307.2372,447.6969
2011-08-10,1806.24,2798.79,378.7,188.82,497.5918,554.54,211.5755,2696.0,311.1459,458.3056
2011-08-11,1817.44,2888.66,382.29,188.72,496.2147,550.33,209.3072,2767.47,316.1975,449.8813
2011-08-12,1793.31,2924.06,382.44,188.83,496.4871,552.83,209.6964,2777.65,315.6769,447.5959
2011-08-15,,2983.94,391.64,,496.3079,556.22,210.2721,2858.77,318.4179,451.5531
2011-08-16,1879.87,2963.84,393.84,188.82,496.8158,557.21,210.561,2852.11,318.3929,458.4887
2011-08-17,1892.67,2974.01,396.12,188.68,498.4234,560.7,211.7243,2866.33,321.05,460.7495
2011-08-18,1860.58,2844.04,384.8,188.66,500.4814,560.21,211.633,2762.89,315.7961,467.9933
2011-08-19,1744.88,2804.04,375.04,189.04,500.6291,560.86,211.6748,2713.9,319.6437,475.7508
2011-08-22,1710.7,2803.33,373.49,189.05,500.4995,560.36,211.0049,2713.16,321.4097,485.9494
2011-08-23,1776.68,2868.95,381.16,188.91,499.7714,558.52,210.0618,2762.63,323.0331,478.0898
2011-08-24,1754.78,2896.06,378.26,189.16,498.2472,557.1,208.5309,2777.0,318.3792,451.3767
2011-08-25,1764.58,2861.64,376.29,189.22,498.4879,557.48,208.7991,2757.76,320.2069,452.8924
2011-08-26,1778.95,2882.58,377.4,189.1,498.8404,557.7,208.9779,2773.75,323.9444,461.6514
2011-08-29,1829.5,2952.15,388.56,189.0,498.6291,558.07,209.4993,2845.17,324.4887,460.1879
2011-08-30,1843.82,2965.47,392.12,189.2,499.0492,559.87,209.9092,2869.79,328.5519,470.0001
2011-08-31,1880.11,3002.94,399.66,189.17,497.727,563.02,209.6537,2909.63,330.5607,470.4883
2011-09-01,1880.7,2983.18,401.55,189.39,498.4027,563.44,209.8144,2891.51,327.5023,469.8207
2011-09-02,1867.75,2914.1,395.33,189.46,499.7844,563.53,210.7726,2835.85,326.7057,482.0988
2011-09-05,1785.83,2860.78,382.96,190.14,500.6188,,210.41,2795.61,,
2011-09-06,1766.71,2831.94,382.39,190.18,501.2153,562.87,209.3442,2769.76,324.1094,481.1749
