Date,AAPL US Equity,MSFT US Equity,GOOGL US Equity,GOOG US Equity,AMZN US Equity,TSLA US Equity,FB US Equity,BRK/B US Equity,NVDA US Equity,V US Equity,UNH US Equity,JNJ US Equity,JPM US Equity,PG US Equity,WMT US Equity,HD US Equity,BAC US Equity,MA US Equity,XOM US Equity,PFE US Equity,KO US Equity,DIS US Equity,CVX US Equity,PEP US Equity,CSCO US Equity,ADBE US Equity,ABBV US Equity,LLY US Equity,TMO US Equity,CMCSA US Equity,NKE US Equity,VZ US Equity,ABT US Equity,ACN US Equity,AVGO US Equity,ORCL US Equity,CRM US Equity,COST US Equity,INTC US Equity,WFC US Equity,MRK US Equity,DHR US Equity,PYPL US Equity,MCD US Equity,T US Equity,QCOM US Equity,NFLX US Equity,UPS US Equity,MS US Equity,SCHW US Equity
2012-12-10,16.347,22.3759,343.042,,247.77,6.914,27.84,87.1,2.8565,34.8657,46.923,54.8368,32.6311,53.0943,58.4672,51.358,9.146,45.351,59.5236,17.2561,28.0761,44.8183,72.5184,53.737,14.8626,35.75,23.7021,39.6551,62.444,15.6055,22.1313,28.7791,26.1038,58.3639,27.1253,27.7815,39.605,81.71,15.3668,25.2761,31.2942,38.6829,,69.116,14.7174,48.9067,12.114,56.191,14.087,12.0721
2012-12-11,16.703,22.6915,348.778,,250.69,7.056,27.98,87.27,2.9235,34.922,47.417,55.2252,32.8856,53.427,57.4461,51.236,9.0941,45.532,59.914,17.4123,28.2402,44.982,73.0472,53.898,14.855,35.54,23.9188,40.0348,62.926,15.6684,22.4314,29.0471,26.4395,59.4723,27.2119,28.0154,41.25,81.182,15.803,25.4597,31.7937,38.7698,,69.278,14.9007,49.228,12.298,56.252,14.6998,12.3429
2012-12-12,16.63,22.6251,349.118,,251.76,7.052,27.58,89.32,2.8934,34.6827,47.841,55.1165,32.9858,53.5026,55.8659,51.269,9.1806,45.714,60.2238,17.324,28.0761,45.1274,73.2778,53.76,14.8175,35.96,22.5915,38.7689,62.8,15.6768,22.384,29.2759,26.3755,59.2036,27.2198,27.8237,41.7575,80.695,15.8183,25.6203,31.843,39.6139,,69.037,15.049,48.5689,12.961,56.001,14.6584,12.3429
2012-12-13,16.342,22.5171,351.691,,251.25,6.722,28.24,89.44,2.8958,34.5233,47.088,54.9534,32.9935,53.0263,55.947,50.845,9.12,45.807,59.638,17.2017,28.0462,44.6456,73.1625,53.737,14.825,35.53,22.8894,38.1597,62.723,15.4757,21.9621,29.0994,26.0998,58.4059,26.6659,27.5363,41.66,80.801,15.6805,25.4367,31.2179,39.7733,,68.93,14.9749,48.0116,13.223,55.94,14.7412,12.4152
2012-12-14,15.729,22.2679,351.322,,249.19,6.762,26.812,89.15,2.9096,34.4341,46.802,54.9068,33.0167,52.8751,55.712,50.56,9.1546,45.606,59.3014,17.0999,28.091,44.2456,73.1015,53.699,14.9151,37.56,22.3477,37.8116,62.037,15.3081,21.8673,28.8968,26.1118,58.9517,24.64,27.8412,41.7025,80.032,15.7086,25.3526,30.9267,39.5052,,68.706,14.8396,45.7703,13.329,55.558,14.9483,12.37
2012-12-17,16.007,22.5046,360.74,,253.86,6.88,26.75,89.98,2.8969,34.9759,47.07,55.1009,33.5334,52.8751,56.0766,51.578,9.5181,46.27,59.8333,17.2187,27.9717,44.8001,73.6845,53.86,15.1029,37.42,22.6186,38.2467,62.607,15.7249,22.111,28.8379,26.0519,59.8921,25.3128,28.1548,42.2275,81.57,15.7418,26.2933,30.9906,40.1429,,69.503,14.9356,47.4608,13.529,55.947,15.3458,12.519
2012-12-18,16.472,22.8909,360.885,,260.4,6.918,27.71,90.37,2.9027,35.3488,47.581,55.1087,33.8342,52.9053,56.3197,51.326,9.8296,46.606,60.2978,17.4123,27.8076,45.6547,74.6473,53.982,15.3067,37.49,23.3161,39.1803,63.042,15.9407,22.3209,28.6745,26.3436,59.7158,25.5346,28.6426,42.725,82.459,16.0402,26.7369,31.4239,40.8168,,69.974,14.9836,48.4706,13.663,57.236,15.8344,12.8305
2012-12-19,16.238,22.6832,360.404,,257.99,6.922,27.41,90.1,2.9235,34.9829,47.183,54.8602,33.572,52.429,55.5256,50.324,9.6825,46.276,59.5413,17.2153,27.4346,45.4001,74.5185,53.485,15.2228,38.09,23.1942,38.7056,62.559,15.9239,22.0636,28.3543,26.1078,59.1112,25.3128,29.6967,42.465,81.487,16.1474,26.4769,31.0119,40.3385,,69.348,14.796,47.851,13.426,57.663,15.8095,13.0653
2012-12-20,16.097,22.9905,361.53,,261.5,6.886,27.36,90.69,2.9212,35.7569,48.023,54.9534,34.3432,52.7919,55.9146,50.487,9.968,47.141,59.8467,17.2697,27.636,46.3,74.8371,53.661,15.2005,37.87,23.2416,38.9667,62.945,15.9575,22.3389,28.6353,26.1917,57.9525,25.2416,29.5658,42.52,81.917,16.0933,26.8134,29.9458,40.94,,69.603,14.9094,48.0882,13.357,57.297,15.9586,13.0562
2012-12-21,16.023,22.7995,358.162,,256.92,6.8,26.26,89.83,2.8542,35.3605,47.65,54.5805,33.9344,51.9602,55.6309,49.957,9.769,46.672,58.7291,17.032,27.5166,45.4547,74.3829,53.293,14.9902,37.71,23.9391,39.2041,61.65,15.5972,23.7153,28.4785,26.3915,56.6091,24.8143,29.4092,42.2375,82.156,15.891,26.3698,29.4919,40.6211,,69.711,14.6912,47.1319,13.049,57.076,15.6688,12.9298
