Date,DBE US Equity,IAU US Equity,SLV US Equity,AIA US Equity,VPL US Equity,VGK US Equity,VWO US Equity,VXUS US Equity,RWO US Equity,VOO US Equity,VO US Equity,VB US Equity,SCHH US Equity,EMLC US Equity,AGG US Equity
2010-08-20,23.6019,24.02,17.59,41.3238,56.097,53.8336,46.8435,,36.9988,,66.6578,62.5671,,51.98,144.2913
2010-08-23,23.3084,23.98,17.61,41.1304,55.8405,53.8214,46.4276,,36.844,,66.1574,61.7958,,51.84,144.4378
2010-08-24,22.994,24.1,17.99,40.6213,55.3367,52.9077,45.9219,,36.5122,,65.0802,61.0681,,51.932,145.0107
2010-08-25,23.256,24.28,18.54,40.6254,55.3388,52.8955,45.7196,,37.0762,,65.4067,61.7904,,51.88,144.6777
2010-08-26,23.5809,24.2,18.59,40.4219,55.3053,52.8834,45.3937,,36.7665,,65.0259,61.3614,,52.0,144.8642
2010-08-27,24.0473,24.24,18.7,40.9672,56.2642,54.0894,46.3152,,37.5073,,66.3532,62.9038,,52.04,144.0648
2010-08-30,23.9142,24.2,18.63,40.6107,56.0189,52.9808,45.6297,,37.242,,65.2326,61.5949,,51.86,145.0374
2010-08-31,23.3923,24.44,18.93,40.3381,55.651,53.3463,45.8545,,37.4853,,65.1706,61.5243,,51.56,145.144
2010-09-01,23.8953,24.38,18.96,41.4705,57.4908,55.4538,47.3829,,38.8454,,67.452,63.7945,,52.156,144.8355
2010-09-02,24.105,24.48,19.28,41.3132,57.4796,55.9168,47.4054,,39.1218,,68.3876,64.6092,,52.1761,144.6485
2010-09-03,24.0106,24.38,19.42,41.7536,57.9591,56.5015,47.9336,,39.4867,,69.345,65.6574,,52.4372,144.3145
2010-09-07,24.1783,24.58,19.36,41.5754,57.7138,55.2955,47.2818,,38.8786,,68.3332,64.5114,,52.3167,144.7286
2010-09-08,24.2622,24.58,19.5,41.8689,57.9033,55.9168,47.7651,,39.1771,,68.8337,64.9025,,51.9552,144.6218
2010-09-09,24.1364,24.34,19.32,42.0367,58.4162,56.4406,48.0011,,39.0886,101.32,68.9642,64.9894,,52.2765,143.927
2010-09-10,24.3984,24.36,19.42,42.1835,58.6392,56.5868,48.2483,,39.1882,101.78,69.2471,65.2283,,52.4954,143.6198
2010-09-13,24.6499,24.36,19.54,43.1062,59.3529,57.6954,49.2598,,39.7853,103.06,70.2915,66.6296,,52.8388,143.9404
2010-09-14,24.5661,24.82,20.05,43.2635,59.5626,58.2436,49.2823,,39.8848,103.038,70.2371,66.5101,,53.2003,144.4614
2010-09-15,24.5137,24.8,20.17,43.253,59.6651,58.2192,49.316,,40.0507,103.3,70.4982,66.8142,,52.9794,144.1942
2010-09-16,24.2307,24.96,20.35,43.0643,58.9626,58.0974,49.0912,,39.7079,103.26,70.3352,66.4667,,52.9794,143.9538
2010-09-17,24.1469,24.94,20.29,43.2321,58.8846,57.6101,49.0688,,39.7269,103.36,70.4221,66.7111,,52.9794,144.1408
2010-09-20,24.4718,25.02,20.29,43.7354,59.8658,58.743,49.8555,,40.6635,105.04,71.6841,68.2589,,53.2001,144.1942
2010-09-21,24.1469,25.24,20.59,43.5991,59.4198,58.8405,49.8218,,40.3178,104.7198,71.238,67.9276,,53.421,144.8088
2010-09-22,24.0106,25.28,20.712,43.7207,59.3752,58.9501,49.833,,40.0391,104.16,70.6723,67.1184,,53.8631,144.8489
2010-09-23,24.084,25.28,20.66,43.3778,58.9626,58.0608,49.5633,,39.1984,103.3063,70.1936,66.3906,,53.602,145.0092
2010-09-24,24.3565,25.34,21.01,44.3226,60.0888,60.0344,50.4287,,40.4182,105.398,71.8864,68.3024,,53.8229,144.4748
2010-09-27,24.1783,25.38,20.99,43.9346,60.2783,59.4009,50.3275,,40.0168,104.8953,71.6623,68.2481,,53.9484,144.9691
2010-09-28,24.3041,25.62,21.29,44.1234,60.6351,59.9978,50.6647,,40.3736,105.579,72.2172,68.8781,,54.1641,145.3165
2010-09-29,24.8386,25.6,21.4,44.2806,60.7578,59.6689,50.8445,,40.1617,105.0763,72.2063,69.0193,,54.2045,145.2096
2010-09-30,25.3207,25.6,21.31,44.396,60.0442,59.3522,51.0917,,40.2398,104.9154,72.141,68.9107,,54.2848,145.1562
2010-10-01,25.7294,25.82,21.65,44.9098,60.3229,60.0953,51.8897,,40.7081,105.2774,72.3695,69.2366,,54.6666,144.9885
2010-10-04,25.6456,25.74,21.51,44.8678,59.6985,59.1207,51.8448,,40.6668,104.3927,71.6732,68.3893,,54.5455,145.2296
2010-10-05,26.0019,26.24,22.34,45.5494,61.1704,61.0455,52.609,,41.4774,106.6808,73.2942,70.0512,,55.0692,145.2296
2010-10-06,26.1696,26.4,22.69,45.8305,61.6721,61.3622,52.7101,,41.6112,106.4998,72.7394,69.8014,,55.2304,145.3769
2010-10-07,25.6561,26.1,22.02,45.5704,61.8617,61.1917,52.2044,,41.6045,106.4435,72.8046,69.6493,,55.3512,145.4438
2010-10-08,25.9914,26.36,22.73,45.9059,62.3077,61.5693,52.7551,,41.8453,107.2475,73.403,70.5292,,55.4922,145.7385
2010-10-11,25.8237,26.48,22.78,45.8744,62.2631,61.2891,52.7326,,41.8119,107.0668,73.5662,70.6161,,55.2908,145.6581
2010-10-12,25.7713,26.41,22.84,45.4131,61.7725,61.4962,52.5135,,41.9791,107.6901,73.8817,70.8985,,55.4318,145.5108
2010-10-13,25.9914,26.86,23.49,45.9338,61.9955,62.4099,53.3395,,42.3549,108.3335,74.4692,71.7838,,55.8145,145.4974
2010-10-14,25.8761,27.0,24.028,46.2834,62.3746,62.8485,53.4069,,42.3805,107.9314,74.0014,71.6697,,56.0159,144.9617
2010-10-15,25.4569,26.76,23.75,46.4197,62.2408,62.5561,53.2946,,42.2646,108.1325,74.2516,71.4959,,55.7239,144.6671
2010-10-18,25.8866,26.88,23.96,46.0842,62.6533,62.5683,53.2608,,42.5924,108.9166,74.4909,72.1042,,55.6534,145.176
