Date,DBE US Equity,IAU US Equity,SLV US Equity,AIA US Equity,VPL US Equity,VGK US Equity,VWO US Equity,VXUS US Equity,RWO US Equity,VOO US Equity,VO US Equity,VB US Equity,SCHH US Equity,EMLC US Equity,AGG US Equity
2019-10-21,13.2608,28.36,16.41,58.3402,63.0582,51.6631,39.1571,49.4415,48.7072,264.7319,162.6015,150.1757,22.6049,29.6211,107.0412
2019-10-22,13.359,28.46,16.37,58.4072,63.1517,51.4475,39.1289,49.3948,48.7072,263.8001,161.9278,150.0115,22.572,29.6825,107.203
2019-10-23,13.634,28.54,16.39,58.2252,63.3669,51.7474,39.1477,49.5723,48.8353,264.5782,162.3994,150.1274,22.6284,29.8053,107.2886
2019-10-24,13.7375,28.74,16.65,58.3785,63.4043,51.8787,39.1947,49.6564,48.7164,265.0105,162.717,150.34,22.6473,29.7001,107.3172
2019-10-25,13.801,28.8,16.89,58.5413,63.4885,51.8693,39.3731,49.7591,48.2865,266.1151,163.1885,150.9871,22.3743,29.9018,107.1649
2019-10-28,13.7323,28.54,16.68,59.1352,63.7692,52.1318,39.683,49.974,48.1584,267.6616,163.6794,152.1173,22.2661,29.9194,106.9365
2019-10-29,13.7126,28.44,16.65,58.5509,63.7599,52.0662,39.4576,49.8899,48.2499,267.4887,163.8526,152.4264,22.3085,29.8667,106.9461
2019-10-30,13.5162,28.64,16.73,58.7999,63.947,52.3474,39.6078,50.0768,48.4145,268.4301,164.0258,152.1753,22.4543,29.7088,107.2506
2019-10-31,13.3787,28.92,16.92,58.57,63.7973,52.188,39.298,49.918,48.5151,267.5656,163.0923,151.1031,22.4355,29.7702,107.6692
2019-11-01,13.8109,28.92,16.92,59.662,64.6206,52.5818,39.9083,50.4038,48.6158,270.1111,164.8728,153.3923,22.4261,29.8595,107.6991
2019-11-04,13.9382,28.86,16.85,60.591,64.9948,52.8443,40.1994,50.6934,48.4969,271.1869,165.4117,154.3486,22.3367,29.8948,107.4321
2019-11-05,14.0466,28.38,16.44,60.9646,65.0603,52.7318,40.3966,50.7775,47.9755,270.8411,165.0075,154.5322,22.0073,29.7978,107.0315
2019-11-06,13.8207,28.52,16.47,60.9646,65.0229,52.7036,40.3309,50.6934,47.9755,270.9852,164.5167,153.8463,22.0638,29.736,107.1936
2019-11-07,13.86,28.06,16.0,61.2998,65.472,52.8161,40.6032,50.8896,47.6005,271.9457,164.738,153.9816,21.8191,29.6743,106.6882
2019-11-08,13.9582,27.9,15.7,60.6677,65.2474,52.7599,40.237,50.7681,47.2895,272.6085,165.0556,154.6867,21.7391,29.6302,106.631
